id,latitude_deg,longitude_deg
0C5,43.57640076,-85.2806015
0C7,41.52199936,-89.13259888
0C8,41.51950073,-88.60559845
0C9,40.63819885,-74.97570038
0CA0,33.9233017,-118.2419968
0CA1,34.98830032,-120.4580002
0CA2,34.04919815,-118.4560013
0CA3,34.58750153,-120.0130005
0CA4,34.62220001,-120.0650024
0CA5,33.14310074,-116.7450027
0CA6,32.7494444,-116.0161111
0CA7,33.75699997,-118.0879974
0CA8,33.42779922,-116.8430023
0CA9,35.59500122,-120.3389969
0CD0,38.74079895,-108.052002
0CD1,40.2610917,-103.7963389
0CD2,38.65250015,-104.2340012
0CD3,40.34799957,-104.5279999
0CD4,40.14630127,-104.887001
0CD5,37.4905014,-104.1439972
0CD6,39.97169876,-105.0849991
0CD7,40.00469971,-105.0719986
0CD8,38.07109833,-102.6090012
0CD9,39.60309982,-105.0910034
0CL0,37.11800003,-119.913002
0CL1,34.56940079,-117.5559998
0CL2,32.59389877,-117.0849991
0CL3,32.6330986,-116.8929977
0CL4,34.15719986,-118.2549973
0CL5,33.67060089,-117.8580017
0CL6,34.69469833,-118.2829971
0CL7,34.054901,-118.264967
0CL8,35.59130096,-117.6340027
0CL9,33.74110031,-117.151001
0CO0,40.17890167,-105.1259995
0CO1,40.03329849,-105.1240005
0CO2,38.85189819,-106.93282
0CO3,39.88940048,-104.5449982
0CO4,40.58990097,-105.0459976
0CO5,39.83330154,-103.5899963
0CO6,38.2193985,-108.2129974
0CO7,40.58549881,-105.0400009
0CO8,40.20830154,-105.0130005
0CO9,37.65829849,-106.0339966
0CT0,41.88119888,-73.48100281
0CT1,41.48479843,-72.7562027
0CT2,41.71699905,-72.22589874
0CT3,41.66159821,-72.78790283
0CT4,41.50619888,-72.93979645
0CT5,41.7745018,-72.6989975
0CT6,41.59680176,-72.70449829
0CT7,41.18840027,-73.16619873
0CT8,41.4056015,-73.44470215
0CT9,41.75450134,-72.67870331
0D6,40.47499847,-96.9878006
0D7,40.79059982,-83.82910156
0D9,44.958,-84.9587
0.00E+00,40.75450134,-93.24130249
0FA0,25.81290054,-80.33889771
0FA1,27.30389977,-81.88040161
0FA2,30.119753,-83.592732
0FD0,29.26749992,-81.23010254
0FD1,30.21409988,-85.87220001
0FD2,25.95999264,-80.2370026
0FD3,30.49640083,-86.09380341
0FD4,29.3614006,-82.20819855
0FD5,30.82019997,-86.3443985
0FD6,27.90749931,-80.48639679
0FD9,30.65209961,-86.10939789
0FL0,26.73060036,-81.16390228
0FL1,29.98329926,-82.83560181
0FL2,28.78779984,-81.16419983
0FL3,29.60280037,-82.98169708
0FL4,30.70499992,-85.37830353
0FL5,28.45859909,-81.34970093
0FL6,27.80590057,-82.14009857
0FL7,28.61030006,-81.41940308
0FL8,30.19389915,-81.68190002
0FL9,26.39389992,-81.02310181
0G0,43.10319901,-78.70330048
0G5,47.8263,-90.3835
0GA0,33.35620117,-84.36710358
0GA1,34.47790146,-82.89710236
0GA2,34.37789917,-82.9457016
0GA3,33.77009964,-85.06079865
0GA4,33.81290054,-83.50569916
0GA5,34.45479965,-84.28910065
0GA6,33.73339844,-83.81880188
0GA7,33.6833992,-84.99990082
0GA8,30.88710022,-83.41600037
0GA9,32.71390152,-84.02749634
0GE0,33.78210068,-84.80079651
0GE1,31.66550064,-83.44709778
0GE3,34.90470123,-85.45970154
0GE4,33.33140182,-84.26670074
0GE5,34.5617981,-83.71350098
0GE7,33.52030182,-82.37249756
0GE9,32.69390106,-81.79859924
0H7,40.42160034,-91.70629883
0I2,39.47669983,-87.09970093
0IA0,41.31689835,-93.09600067
0IA1,42.05830002,-94.86830139
0IA2,41.71549988,-94.93859863
0IA3,42.43470001,-92.32800293
0IA4,41.03340149,-91.05010223
0IA5,40.87220001,-93.26270294
0IA6,41.65969849,-92.28990173
0IA7,41.03889847,-94.46690369
0IA8,42.22800064,-91.75099945
0IA9,40.83340073,-91.30010223
0ID0,43.60639954,-115.1070023
